Trx_Rank,Trx_Vlu,Trx_Age,Customer_Age,Category In English,User_Id,Mer_Id,Active_User_Merchant,Active_User_Age,Cluster
1,139.8,315,315,Grocery,369,3,Low,Low,1
1,232.0,285,58,Grocery,386,3,Low,High,1
1,232.0,232,232,Grocery,391,3,Low,Low,1
1,284.6,55,55,Grocery,392,3,Low,High,1
1,523.5,299,299,Grocery,398,3,Low,Low,1
1,262.0,102,102,Grocery,408,3,Low,Medium,1
1,120.0,225,225,Grocery,413,3,Low,Low,1
1,80.0,44,44,Grocery,430,3,Low,High,1
1,146.3,281,281,Grocery,431,3,Low,Low,1
1,314.0,272,272,Grocery,435,3,Low,Low,1
1,118.0,144,144,Grocery,442,3,Low,Medium,1
1,186.4,101,101,Grocery,449,3,Low,Medium,1
1,106.0,145,145,Grocery,456,3,Low,Medium,1
1,216.0,303,303,Grocery,457,3,Low,Low,1
1,500.0,233,233,Grocery,464,3,Low,Low,1
1,1816.9,127,127,Grocery,483,3,Low,Medium,3
1,150.0,271,271,Grocery,489,3,Low,Low,1
1,278.0,138,40,Grocery,492,3,Low,High,1
1,90.0,261,261,Grocery,495,3,Low,Low,1
1,79.2,299,299,Grocery,506,3,Low,Low,1
1,172.0,211,211,Grocery,507,3,Low,Low,1
1,138.0,155,20,Grocery,513,3,Low,High,1
2,215.2,20,20,Grocery,513,3,Low,High,1
1,197.5,271,271,Grocery,515,3,Low,Low,1
1,96.0,261,261,Grocery,522,3,Low,Low,1
1,1000.0,176,20,Grocery,532,3,Low,High,2
2,800.0,138,20,Grocery,532,3,Low,High,2
3,300.0,138,20,Grocery,532,3,Low,High,1
4,700.0,68,20,Grocery,532,3,Medium,High,2
1,171.0,308,308,Grocery,556,3,Low,Low,1
1,114.0,163,163,Grocery,562,3,Low,Medium,1
1,447.0,193,45,Grocery,563,3,Low,High,1
1,288.0,269,269,Grocery,565,3,Low,Low,1
1,1501.7,161,161,Grocery,572,3,Low,Medium,2
1,660.2,235,235,Grocery,575,3,Low,Low,2
1,320.0,34,34,Grocery,578,3,Low,High,1
1,334.0,125,125,Grocery,579,3,Low,Medium,1
1,218.0,75,75,Grocery,600,3,Low,Medium,1
1,94.0,251,34,Grocery,606,3,Low,High,1
2,50.0,34,34,Grocery,606,3,Low,High,1
1,117.0,223,223,Grocery,610,3,Low,Low,1
1,205.4,121,121,Grocery,613,3,Low,Medium,1
1,213.8,256,256,Grocery,614,3,Low,Low,1
1,159.8,258,258,Grocery,616,3,Low,Low,1
1,109.6,264,264,Grocery,617,3,Low,Low,1
1,157.0,264,264,Grocery,618,3,Low,Low,1
1,298.0,274,118,Grocery,623,3,Low,Medium,1
1,67.6,298,211,Grocery,630,3,Low,Low,1
2,40.0,211,211,Grocery,630,3,Low,Low,1
1,160.0,152,152,Grocery,631,3,Low,Medium,1
1,297.8,121,121,Grocery,658,3,Low,Medium,1
1,258.0,52,52,Grocery,659,3,Low,High,1
1,124.0,303,303,Grocery,668,3,Low,Low,1
1,252.0,253,253,Grocery,681,3,Low,Low,1
1,157.0,292,292,Grocery,682,3,Low,Low,1
1,432.0,124,124,Grocery,692,3,Low,Medium,1
1,297.6,258,258,Grocery,695,3,Low,Low,1
1,342.0,267,267,Grocery,703,3,Low,Low,1
1,170.9,74,74,Grocery,704,3,Low,Medium,1
1,2358.7,78,78,Grocery,728,3,Low,Medium,3
1,40.0,266,34,Grocery,731,3,Low,High,1
2,165.3,34,34,Grocery,731,3,Low,High,1
1,380.0,245,245,Grocery,733,3,Low,Low,1
1,170.6,260,260,Grocery,737,3,Low,Low,1
1,182.0,216,216,Grocery,744,3,Low,Low,1
1,146.4,265,20,Grocery,755,3,Low,High,1
1,109.0,258,258,Grocery,758,3,Low,Low,1
1,2693.0,255,20,Grocery,763,3,Low,High,3
2,2595.2,46,20,Grocery,763,3,Low,High,3
1,170.8,179,19,Grocery,765,3,Low,High,1
1,320.0,213,213,Grocery,767,3,Low,Low,1
1,190.0,161,55,Grocery,782,3,Low,High,1
2,900.0,55,55,Grocery,782,3,Low,High,2
1,400.0,68,68,Grocery,793,3,Low,Medium,1
1,662.1,298,18,Grocery,805,3,Low,High,2
2,328.0,197,18,Grocery,805,3,Low,High,1
1,194.3,169,169,Grocery,813,3,Low,Medium,1
1,171.9,249,249,Grocery,827,3,Low,Low,1
1,134.0,193,193,Grocery,836,3,Low,Low,1
1,142.6,194,194,Grocery,838,3,Low,Low,1
1,100.0,252,240,Grocery,839,3,Low,Low,1
2,110.6,240,240,Grocery,839,3,Low,Low,1
1,290.0,104,104,Grocery,840,3,Low,Medium,1
1,34.0,200,197,Grocery,850,3,Low,Low,1
2,6.0,197,197,Grocery,850,3,Low,Low,1
1,309.7,124,124,Grocery,851,3,Low,Medium,1
1,175.4,166,166,Grocery,868,3,Low,Medium,1
1,107.1,269,269,Grocery,869,3,Low,Low,1
1,123.6,270,20,Grocery,874,3,Low,High,1
2,46.3,154,20,Grocery,874,3,Low,High,1
1,479.8,192,58,Grocery,877,3,Low,High,1
2,188.0,58,58,Grocery,877,3,Low,High,1
1,94.0,143,143,Grocery,888,3,Low,Medium,1
1,120.8,230,230,Grocery,892,3,Low,Low,1
1,186.8,46,46,Grocery,897,3,Low,High,1
1,294.3,266,266,Grocery,905,3,Low,Low,1
1,43.6,34,34,Grocery,913,3,Low,High,1
1,310.0,78,78,Grocery,914,3,Low,Medium,1
1,136.0,155,155,Grocery,927,3,Low,Medium,1
1,115.0,250,250,Grocery,935,3,Low,Low,1
1,162.0,52,52,Grocery,943,3,Low,High,1
1,289.7,31,31,Grocery,949,3,Low,High,1
1,1081.0,257,257,Grocery,958,3,Low,Low,2
1,167.5,138,138,Grocery,980,3,Low,Medium,1
1,64.0,256,256,Grocery,982,3,Low,Low,1
1,200.0,96,96,Grocery,983,3,Low,Medium,1
2,89.1,96,96,Grocery,983,3,Low,Medium,1
1,246.0,282,282,Grocery,992,3,Low,Low,1
1,92.4,258,258,Grocery,994,3,Low,Low,1
1,211.7,7,7,Grocery,1004,3,Low,High,1
1,177.2,256,256,Grocery,1009,3,Low,Low,1
1,100.0,275,275,Grocery,1010,3,Low,Low,1
1,156.0,135,135,Grocery,1023,3,Low,Medium,1
1,232.0,55,55,Grocery,1024,3,Low,High,1
1,297.7,40,40,Grocery,1028,3,Low,High,1
1,191.5,148,148,Grocery,1046,3,Low,Medium,1
1,125.3,279,279,Grocery,1051,3,Low,Low,1
1,95.0,253,253,Grocery,1065,3,Low,Low,1
1,100.0,267,267,Grocery,1068,3,Low,Low,1
1,222.8,236,2,Grocery,1082,3,Low,High,1
1,348.0,143,143,Grocery,1084,3,Low,Medium,1
1,51.7,261,261,Grocery,1085,3,Low,Low,1
1,427.5,118,118,Grocery,1087,3,Low,Medium,1
1,194.0,227,227,Grocery,1097,3,Low,Low,1
1,175.8,258,258,Grocery,1106,3,Low,Low,1
1,165.6,35,35,Grocery,1119,3,Low,High,1
1,208.3,304,304,Grocery,1126,3,Low,Low,1
1,190.5,165,165,Grocery,1135,3,Low,Medium,1
1,162.5,113,113,Grocery,1146,3,Low,Medium,1
1,198.8,103,103,Grocery,1147,3,Low,Medium,1
1,113.4,190,190,Grocery,1159,3,Low,Low,1
1,259.3,268,268,Grocery,1167,3,Low,Low,1
1,180.9,254,28,Grocery,1172,3,Low,High,1
1,256.9,27,27,Grocery,1175,3,Low,High,1
1,169.4,298,298,Grocery,1205,3,Low,Low,1
1,153.6,255,255,Grocery,1209,3,Low,Low,1
1,112.0,212,212,Grocery,1211,3,Low,Low,1
1,215.0,256,256,Grocery,1215,3,Low,Low,1
1,167.6,266,266,Grocery,1255,3,Low,Low,1
1,255.1,187,187,Grocery,1258,3,Low,Low,1
1,430.5,19,19,Grocery,1266,3,Low,High,1
1,172.0,279,279,Grocery,1270,3,Low,Low,1
1,122.6,258,258,Grocery,1274,3,Low,Low,1
1,282.7,214,214,Grocery,1282,3,Low,Low,1
1,416.0,110,110,Grocery,1287,3,Low,Medium,1
1,410.9,94,94,Grocery,1291,3,Low,Medium,1
1,174.0,219,219,Grocery,1299,3,Low,Low,1
1,170.5,290,290,Grocery,1320,3,Low,Low,1
1,94.5,289,289,Grocery,1336,3,Low,Low,1
1,206.0,301,301,Grocery,1337,3,Low,Low,1
1,51.4,258,13,Grocery,1342,3,Low,High,1
1,214.0,294,41,Grocery,1348,3,Low,High,1
1,112.0,210,210,Grocery,1360,3,Low,Low,1
1,484.0,227,227,Grocery,1361,3,Low,Low,1
1,194.9,286,286,Grocery,1362,3,Low,Low,1
1,213.8,34,34,Grocery,1381,3,Low,High,1
1,285.4,58,58,Grocery,1384,3,Low,High,1
1,170.0,195,195,Grocery,1389,3,Low,Low,1
1,112.0,255,255,Grocery,1399,3,Low,Low,1
1,178.0,136,136,Grocery,1401,3,Low,Medium,1
1,150.7,237,237,Grocery,1402,3,Low,Low,1
1,146.6,292,292,Grocery,1407,3,Low,Low,1
1,183.5,155,155,Grocery,1409,3,Low,Medium,1
1,70.0,98,98,Grocery,1416,3,Low,Medium,1
1,192.4,121,121,Grocery,1435,3,Low,Medium,1
1,160.0,68,68,Grocery,1442,3,Low,Medium,1
1,69.3,297,297,Grocery,1448,3,Low,Low,1
1,259.7,290,290,Grocery,1454,3,Low,Low,1
1,244.8,80,80,Grocery,1462,3,Low,Medium,1
1,165.5,244,244,Grocery,1467,3,Low,Low,1
1,249.9,247,27,Grocery,1471,3,Low,High,1
1,219.4,178,178,Grocery,1476,3,Low,Medium,1
1,84.0,235,235,Grocery,1478,3,Low,Low,1
1,119.6,255,255,Grocery,1482,3,Low,Low,1
1,303.5,208,208,Grocery,1485,3,Low,Low,1
1,252.7,259,259,Grocery,1487,3,Low,Low,1
1,169.7,172,172,Grocery,1503,3,Low,Medium,1
1,285.0,216,216,Grocery,1507,3,Low,Low,1
1,204.0,60,60,Grocery,1508,3,Low,High,1
1,1127.8,282,153,Grocery,1515,3,Low,Medium,2
2,240.0,259,153,Grocery,1515,3,Low,Medium,1
3,305.2,229,153,Grocery,1515,3,Low,Medium,1
4,836.0,153,153,Grocery,1515,3,Medium,Medium,2
1,162.4,227,227,Grocery,1518,3,Low,Low,1
1,43.0,257,257,Grocery,1519,3,Low,Low,1
2,130.3,257,257,Grocery,1519,3,Low,Low,1
1,149.5,304,20,Grocery,1522,3,Low,High,1
1,201.1,119,119,Grocery,1523,3,Low,Medium,1
1,184.0,214,21,Grocery,1539,3,Low,High,1
1,143.4,251,251,Grocery,1540,3,Low,Low,1
1,195.6,110,110,Grocery,1542,3,Low,Medium,1
1,176.2,77,77,Grocery,1558,3,Low,Medium,1
1,12.6,256,256,Grocery,1561,3,Low,Low,1
1,151.6,124,124,Grocery,1567,3,Low,Medium,1
1,202.7,49,49,Grocery,1568,3,Low,High,1
1,260.0,291,291,Grocery,1574,3,Low,Low,1
1,131.4,302,302,Grocery,1593,3,Low,Low,1
1,121.4,294,49,Grocery,1598,3,Low,High,1
1,753.9,123,123,Grocery,1602,3,Low,Medium,2
1,150.0,181,181,Grocery,1610,3,Low,Low,1
1,150.5,280,280,Grocery,1613,3,Low,Low,1
1,463.3,164,164,Grocery,1614,3,Low,Medium,1
1,164.6,17,17,Grocery,1624,3,Low,High,1
1,200.0,114,114,Grocery,1628,3,Low,Medium,1
1,140.0,230,230,Grocery,1630,3,Low,Low,1
1,112.9,228,228,Grocery,1635,3,Low,Low,1
1,221.0,271,271,Grocery,1648,3,Low,Low,1
1,240.8,297,297,Grocery,1655,3,Low,Low,1
1,137.6,210,210,Grocery,1656,3,Low,Low,1
1,64.0,244,244,Grocery,1659,3,Low,Low,1
1,157.0,254,254,Grocery,1663,3,Low,Low,1
1,189.4,217,217,Grocery,1667,3,Low,Low,1
1,165.1,188,188,Grocery,1672,3,Low,Low,1
1,107.9,169,169,Grocery,1680,3,Low,Medium,1
1,66.1,242,242,Grocery,1683,3,Low,Low,1
1,224.0,41,41,Grocery,1685,3,Low,High,1
1,197.2,185,185,Grocery,1695,3,Low,Low,1
1,176.1,180,180,Grocery,1697,3,Low,Medium,1
1,146.6,306,300,Grocery,1699,3,Low,Low,1
1,32.0,290,268,Grocery,1701,3,Low,Low,1
2,6.0,268,268,Grocery,1701,3,Low,Low,1
1,336.0,301,229,Grocery,1702,3,Low,Low,1
2,60.0,259,229,Grocery,1702,3,Low,Low,1
3,18.6,229,229,Grocery,1702,3,Low,Low,1
1,133.9,257,257,Grocery,1703,3,Low,Low,1
1,594.4,255,255,Grocery,1704,3,Low,Low,2
1,184.6,265,265,Grocery,1709,3,Low,Low,1
1,403.9,300,27,Grocery,1714,3,Low,High,1
1,380.1,102,102,Grocery,1722,3,Low,Medium,1
1,274.0,122,122,Grocery,1723,3,Low,Medium,1
1,165.2,197,197,Grocery,1733,3,Low,Low,1
1,107.1,209,209,Grocery,1735,3,Low,Low,1
1,123.3,241,241,Grocery,1740,3,Low,Low,1
1,281.2,294,294,Grocery,1742,3,Low,Low,1
1,143.5,306,306,Grocery,1749,3,Low,Low,1
1,153.2,241,241,Grocery,1757,3,Low,Low,1
1,133.1,199,199,Grocery,1758,3,Low,Low,1
1,70.0,93,93,Grocery,1762,3,Low,Medium,1
1,212.9,268,268,Grocery,1768,3,Low,Low,1
1,88.0,279,279,Grocery,1771,3,Low,Low,1
1,1038.0,164,164,Grocery,1772,3,Low,Medium,2
1,192.0,295,295,Grocery,1773,3,Low,Low,1
1,256.0,123,20,Grocery,1774,3,Low,High,1
1,82.0,268,268,Grocery,1776,3,Low,Low,1
1,165.6,191,191,Grocery,1778,3,Low,Low,1
1,868.0,143,20,Grocery,1781,3,Low,High,2
1,138.3,249,249,Grocery,1782,3,Low,Low,1
1,340.5,286,286,Grocery,1787,3,Low,Low,1
1,82.5,278,278,Grocery,1791,3,Low,Low,1
1,785.3,78,78,Grocery,1795,3,Low,Medium,2
1,56.1,244,244,Grocery,1796,3,Low,Low,1
1,178.7,231,231,Grocery,1798,3,Low,Low,1
1,232.1,288,288,Grocery,1800,3,Low,Low,1
1,555.4,298,298,Grocery,1807,3,Low,Low,1
1,372.5,241,241,Grocery,1819,3,Low,Low,1
1,175.0,254,254,Grocery,1822,3,Low,Low,1
1,128.0,235,235,Grocery,1826,3,Low,Low,1
1,166.0,272,272,Grocery,1829,3,Low,Low,1
1,158.0,220,220,Grocery,1834,3,Low,Low,1
1,123.9,175,175,Grocery,1839,3,Low,Medium,1
1,163.7,305,305,Grocery,1852,3,Low,Low,1
1,124.0,183,183,Grocery,1857,3,Low,Low,1
1,249.3,149,149,Grocery,1862,3,Low,Medium,1
1,108.5,68,68,Grocery,1865,3,Low,Medium,1
1,107.7,327,327,Grocery,1873,3,Low,Low,1
1,572.8,136,136,Grocery,1878,3,Low,Medium,2
1,240.0,275,161,Grocery,1898,3,Low,Medium,1
2,128.0,239,161,Grocery,1898,3,Low,Medium,1
1,150.0,251,251,Grocery,1901,3,Low,Low,1
1,371.8,286,286,Grocery,1912,3,Low,Low,1
1,101.4,266,266,Grocery,1913,3,Low,Low,1
1,172.7,291,291,Grocery,1917,3,Low,Low,1
1,440.0,46,46,Grocery,1924,3,Low,High,1
1,215.1,108,108,Grocery,1933,3,Low,Medium,1
1,149.7,233,233,Grocery,1935,3,Low,Low,1
1,53.3,140,140,Grocery,1946,3,Low,Medium,1
1,176.9,28,28,Grocery,1952,3,Low,High,1
1,587.7,266,266,Grocery,1960,3,Low,Low,2
1,198.5,230,230,Grocery,1963,3,Low,Low,1
1,245.5,212,212,Grocery,1964,3,Low,Low,1
1,204.0,272,272,Grocery,1966,3,Low,Low,1
1,185.6,188,188,Grocery,1971,3,Low,Low,1
1,284.0,54,54,Grocery,1974,3,Low,High,1
1,850.5,294,140,Grocery,1976,3,Low,Medium,2
2,105.0,264,140,Grocery,1976,3,Low,Medium,1
1,122.0,284,284,Grocery,1981,3,Low,Low,1
1,100.0,304,304,Grocery,1985,3,Low,Low,1
1,208.0,225,225,Grocery,1989,3,Low,Low,1
1,185.9,102,102,Grocery,1995,3,Low,Medium,1
1,274.5,88,88,Grocery,2000,3,Low,Medium,1
1,129.1,93,93,Grocery,2002,3,Low,Medium,1
1,126.9,279,279,Grocery,2013,3,Low,Low,1
1,102.0,262,262,Grocery,2015,3,Low,Low,1
1,70.8,294,33,Grocery,2017,3,Low,High,1
1,179.9,174,174,Grocery,2024,3,Low,Medium,1
1,328.7,72,72,Grocery,2029,3,Low,Medium,1
1,100.0,154,154,Grocery,2032,3,Low,Medium,1
1,140.8,299,299,Grocery,2036,3,Low,Low,1
1,110.0,305,305,Grocery,2037,3,Low,Low,1
1,92.0,240,240,Grocery,2038,3,Low,Low,1
1,122.6,307,307,Grocery,2041,3,Low,Low,1
1,233.1,125,125,Grocery,2047,3,Low,Medium,1
1,63.1,222,222,Grocery,2055,3,Low,Low,1
1,150.8,305,305,Grocery,2056,3,Low,Low,1
1,157.6,225,225,Grocery,2057,3,Low,Low,1
1,177.8,104,104,Grocery,2058,3,Low,Medium,1
1,110.0,45,45,Grocery,2089,3,Low,High,1
1,836.5,298,250,Grocery,2091,3,Low,Low,2
1,184.9,252,252,Grocery,2107,3,Low,Low,1
1,100.0,291,291,Grocery,2108,3,Low,Low,1
1,554.0,298,6,Grocery,2111,3,Low,High,2
1,713.1,292,292,Grocery,2121,3,Low,Low,2
1,197.6,206,41,Grocery,2123,3,Low,High,1
1,157.4,90,90,Grocery,2137,3,Low,Medium,1
1,209.3,290,290,Grocery,2143,3,Low,Low,1
1,190.7,296,296,Grocery,2157,3,Low,Low,1
1,300.8,208,208,Grocery,2160,3,Low,Low,1
1,250.4,258,258,Grocery,2163,3,Low,Low,1
1,118.0,236,236,Grocery,2165,3,Low,Low,1
1,120.0,303,303,Grocery,2169,3,Low,Low,1
1,169.8,21,21,Grocery,2171,3,Low,High,1
1,158.0,272,272,Grocery,2179,3,Low,Low,1
1,6.6,305,305,Grocery,2181,3,Low,Low,1
1,186.0,234,234,Grocery,2182,3,Low,Low,1
1,158.0,175,175,Grocery,2186,3,Low,Medium,1
1,66.0,172,172,Grocery,2195,3,Low,Medium,1
1,226.3,108,108,Grocery,2196,3,Low,Medium,1
1,269.4,121,121,Grocery,2201,3,Low,Medium,1
1,14.4,262,137,Grocery,2209,3,Low,Medium,1
2,12.9,205,137,Grocery,2209,3,Low,Medium,1
3,12.9,137,137,Grocery,2209,3,Low,Medium,1
1,153.9,286,286,Grocery,2211,3,Low,Low,1
1,449.6,243,62,Grocery,2214,3,Low,Medium,1
1,161.7,260,260,Grocery,2215,3,Low,Low,1
1,131.6,259,259,Grocery,2217,3,Low,Low,1
1,139.6,140,140,Grocery,2220,3,Low,Medium,1
1,187.7,31,31,Grocery,2227,3,Low,High,1
1,2382.3,255,255,Grocery,2230,3,Low,Low,3
1,56.4,281,281,Grocery,2232,3,Low,Low,1
1,55.6,136,136,Grocery,2239,3,Low,Medium,1
1,213.9,57,57,Grocery,2241,3,Low,High,1
1,140.0,167,167,Grocery,2244,3,Low,Medium,1
1,142.6,270,34,Grocery,2245,3,Low,High,1
1,183.0,104,104,Grocery,2254,3,Low,Medium,1
1,658.2,279,20,Grocery,2256,3,Low,High,2
1,292.3,158,158,Grocery,2260,3,Low,Medium,1
1,151.6,100,100,Grocery,2266,3,Low,Medium,1
1,152.4,159,159,Grocery,2270,3,Low,Medium,1
1,165.9,174,174,Grocery,2272,3,Low,Medium,1
1,200.0,139,139,Grocery,2275,3,Low,Medium,1
1,195.6,271,271,Grocery,2294,3,Low,Low,1
1,418.0,324,34,Grocery,2298,3,Low,High,1
1,199.7,298,298,Grocery,2299,3,Low,Low,1
1,242.0,147,147,Grocery,2310,3,Low,Medium,1
1,53.7,266,266,Grocery,2318,3,Low,Low,1
1,1202.0,93,93,Grocery,2326,3,Low,Medium,2
1,262.6,268,179,Grocery,2328,3,Low,Medium,1
1,98.0,309,309,Grocery,2331,3,Low,Low,1
1,182.0,251,251,Grocery,2332,3,Low,Low,1
1,126.9,293,293,Grocery,2334,3,Low,Low,1
1,225.0,41,41,Grocery,2344,3,Low,High,1
1,146.0,253,253,Grocery,2358,3,Low,Low,1
1,198.3,125,125,Grocery,2362,3,Low,Medium,1
1,186.7,257,257,Grocery,2364,3,Low,Low,1
1,72.3,267,267,Grocery,2368,3,Low,Low,1
1,275.0,291,55,Grocery,2371,3,Low,High,1
1,322.0,266,150,Grocery,2374,3,Low,Medium,1
2,84.8,150,150,Grocery,2374,3,Low,Medium,1
1,510.0,266,27,Grocery,2379,3,Low,High,1
1,519.2,248,248,Grocery,2385,3,Low,Low,1
1,81.3,238,238,Grocery,2386,3,Low,Low,1
1,87.1,311,33,Grocery,2393,3,Low,High,1
1,130.0,246,246,Grocery,2397,3,Low,Low,1
1,26.5,9,9,Grocery,2406,3,Low,High,1
1,133.0,277,277,Grocery,2410,3,Low,Low,1
1,119.7,249,249,Grocery,2444,3,Low,Low,1
1,128.0,162,162,Grocery,2448,3,Low,Medium,1
1,309.2,288,288,Grocery,2449,3,Low,Low,1
1,295.9,179,179,Grocery,2452,3,Low,Medium,1
1,164.9,272,272,Grocery,2461,3,Low,Low,1
1,190.0,299,299,Grocery,2467,3,Low,Low,1
1,44.5,266,266,Grocery,2477,3,Low,Low,1
1,400.0,162,162,Grocery,2482,3,Low,Medium,1
1,185.5,267,267,Grocery,2487,3,Low,Low,1
1,477.1,284,284,Grocery,2490,3,Low,Low,1
1,182.3,230,230,Grocery,2494,3,Low,Low,1
1,127.0,233,233,Grocery,2508,3,Low,Low,1
1,130.2,143,143,Grocery,2512,3,Low,Medium,1
1,253.0,221,38,Grocery,2516,3,Low,High,1
2,104.0,38,38,Grocery,2516,3,Low,High,1
1,169.9,198,198,Grocery,2517,3,Low,Low,1
1,209.0,249,249,Grocery,2521,3,Low,Low,1
1,179.9,209,209,Grocery,2524,3,Low,Low,1
1,167.0,260,260,Grocery,2526,3,Low,Low,1
1,200.0,309,309,Grocery,2530,3,Low,Low,1
1,411.9,176,176,Grocery,2532,3,Low,Medium,1
1,600.0,293,168,Grocery,2540,3,Low,Medium,2
1,125.7,242,28,Grocery,2563,3,Low,High,1
2,125.7,241,28,Grocery,2563,3,Low,High,1
1,158.0,241,241,Grocery,2566,3,Low,Low,1
1,110.1,244,244,Grocery,2569,3,Low,Low,1
1,144.9,258,258,Grocery,2577,3,Low,Low,1
1,216.7,59,59,Grocery,2588,3,Low,High,1
1,1000.0,270,69,Grocery,2591,3,Low,Medium,2
1,340.0,271,25,Grocery,2599,3,Low,High,1
1,216.0,258,258,Grocery,2604,3,Low,Low,1
1,151.7,242,242,Grocery,2605,3,Low,Low,1
1,182.8,279,279,Grocery,2607,3,Low,Low,1
1,199.7,128,128,Grocery,2622,3,Low,Medium,1
